from_name,to_name,distance_km
Tanakpur,Khatima,27.11
Tanakpur,Lohaghat,92.49
Tanakpur,Ranikhet,156.53
Tanakpur,Kotdwara,242.39
Tanakpur,New Tehri,375.2
Lohaghat,Dehradun,418.63
Lohaghat,Haridwar,371.03
Lohaghat,Rishikesh,382.89
Lohaghat,Mussoorie,438.74
Lohaghat,Nainital,152.59
Lohaghat,Haldwani,159.26
Lohaghat,Rudrapur,182.1
Lohaghat,Pithoragarh,60.84
Lohaghat,Chamoli,358.53
Lohaghat,Tehri,411.78
Lohaghat,Uttarkashi,510.63
Lohaghat,Joshimath,347.5
Lohaghat,Bageshwar,181.09
Lohaghat,Doiwala,401.05
Lohaghat,Kichha,179.12
Lohaghat,Sitarganj,144.69
Lohaghat,Khatima,119.05
Lohaghat,Tanakpur,92.45
Lohaghat,Ranikhet,163.88
Lohaghat,Kotdwara,304.63
Lohaghat,New Tehri,404.95
Ranikhet,Dehradun,268.83
Ranikhet,Haridwar,221.23
Ranikhet,Rishikesh,233.09
Ranikhet,Mussoorie,288.93
Ranikhet,Nainital,60.89
Ranikhet,Haldwani,81.35
Ranikhet,Rudrapur,112.46
Ranikhet,Pithoragarh,160.47
Ranikhet,Chamoli,226.39
Ranikhet,Tehri,279.64
Ranikhet,Uttarkashi,378.49
Ranikhet,Joshimath,215.36
Ranikhet,Bageshwar,112.02
Ranikhet,Doiwala,251.25
Ranikhet,Kichha,110.84
Ranikhet,Sitarganj,119.68
Ranikhet,Khatima,148.84
Ranikhet,Tanakpur,156.49
Ranikhet,Lohaghat,163.88
Ranikhet,Kotdwara,154.83
Ranikhet,New Tehri,272.81
Kotdwara,Dehradun,122.1
Kotdwara,Haridwar,74.5
Kotdwara,Rishikesh,86.36
Kotdwara,Mussoorie,142.21
Kotdwara,Nainital,172.16
Kotdwara,Haldwani,164.66
Kotdwara,Rudrapur,174.41
Kotdwara,Pithoragarh,301.22
Kotdwara,Chamoli,291.32
Kotdwara,Tehri,157.43
Kotdwara,Uttarkashi,281.24
Kotdwara,Joshimath,280.29
Kotdwara,Bageshwar,265.15
Kotdwara,Doiwala,104.52
Kotdwara,Kichha,183.73
Kotdwara,Sitarganj,205.54
Kotdwara,Khatima,234.7
Kotdwara,Tanakpur,242.34
Kotdwara,Lohaghat,304.63
Kotdwara,Ranikhet,154.83
Kotdwara,New Tehri,153.37
New Tehri,Dehradun,83.7
New Tehri,Haridwar,91.81
New Tehri,Rishikesh,67.34
New Tehri,Mussoorie,64.72
New Tehri,Nainital,304.97
New Tehri,Haldwani,297.47
New Tehri,Rudrapur,307.22
New Tehri,Pithoragarh,368.77
New Tehri,Chamoli,231.06
New Tehri,Tehri,24.92
New Tehri,Uttarkashi,142.39
New Tehri,Joshimath,220.03
New Tehri,Bageshwar,275.21
New Tehri,Doiwala,77.31
New Tehri,Kichha,316.54
New Tehri,Sitarganj,338.35
New Tehri,Khatima,367.51
New Tehri,Tanakpur,375.15
New Tehri,Lohaghat,404.95
New Tehri,Ranikhet,272.81
New Tehri,Kotdwara,153.29
